,countyCode,County,State,county_state,total_coverage,total_claims,mean_total_coverage,mean_total_claims
637,18003,Allen,IN,"Allen County, IN",101995900.0,15672012.04,60856.74224343676,9350.842505966588
638,18005,Bartholomew,IN,"Bartholomew County, IN",54167600.0,14351174.99,110999.18032786885,29408.14547131148
639,18009,Blackford,IN,"Blackford County, IN",139400.0,1516.19,34850.0,379.0475
640,18011,Boone,IN,"Boone County, IN",12154200.0,654032.66,124022.44897959183,6673.802653061225
641,18013,Brown,IN,"Brown County, IN",29339200.0,4885102.76,181106.17283950615,30154.955308641973
642,18015,Carroll,IN,"Carroll County, IN",51771600.0,15111697.23,102721.42857142857,29983.526250000003
643,18017,Cass,IN,"Cass County, IN",6805500.0,840669.41,109766.12903225806,13559.184032258065
644,18019,Clark,IN,"Clark County, IN",81916200.0,12687020.0,103954.56852791876,16100.27918781726
645,18021,Clay,IN,"Clay County, IN",1814200.0,469155.88,86390.47619047618,22340.75619047619
646,18023,Clinton,IN,"Clinton County, IN",2569200.0,371586.4,102768.0,14863.456
647,18025,Crawford,IN,"Crawford County, IN",5460100.0,2157614.85,40747.014925373136,16101.603358208957
648,18027,Daviess,IN,"Daviess County, IN",978600.0,58964.27,108733.33333333331,6551.585555555555
649,18029,Dearborn,IN,"Dearborn County, IN",9579800.0,1835938.24,91236.19047619047,17485.126095238094
650,18031,Decatur,IN,"Decatur County, IN",4618000.0,843142.71,159241.37931034484,29073.886551724136
651,18033,DeKalb,IN,"DeKalb County, IN",6125700.0,1508058.0299999998,94241.53846153848,23200.89276923077
652,18035,Delaware,IN,"Delaware County, IN",20983400.0,2588500.57,87430.83333333333,10785.419041666666
653,18037,Dubois,IN,"Dubois County, IN",1961100.0,237281.4,140078.57142857142,16948.67142857143
654,18039,Elkhart,IN,"Elkhart County, IN",34505100.0,3769494.31,91042.4802110818,9945.895277044856
655,18041,Fayette,IN,"Fayette County, IN",1452600.0,131777.1,90787.5,8236.06875
656,18043,Floyd,IN,"Floyd County, IN",28053600.0,3639891.47,127516.36363636365,16544.961227272728
657,18045,Fountain,IN,"Fountain County, IN",469200.0,33650.83,67028.57142857143,4807.261428571429
658,18047,Franklin,IN,"Franklin County, IN",6914300.0,733355.63,147112.7659574468,15603.311276595745
659,18049,Fulton,IN,"Fulton County, IN",11811800.0,2084061.36,67883.908045977,11977.364137931036
660,18051,Gibson,IN,"Gibson County, IN",1970900.0,500333.71,41060.41666666666,10423.618958333334
661,18053,Grant,IN,"Grant County, IN",10728300.0,1705143.97,78884.55882352941,12537.823308823528
662,18055,Greene,IN,"Greene County, IN",713200.0,115201.33,89150.0,14400.16625
663,18057,Hamilton,IN,"Hamilton County, IN",52799000.0,3798477.96,128464.7201946472,9242.038832116788
664,18059,Hancock,IN,"Hancock County, IN",10258500.0,996315.68,112730.76923076923,10948.523956043957
665,18061,Harrison,IN,"Harrison County, IN",23579500.0,4202290.0,130273.48066298342,23217.07182320442
666,18063,Hendricks,IN,"Hendricks County, IN",12569200.0,661320.79,167589.33333333334,8817.610533333334
667,18065,Henry,IN,"Henry County, IN",1689400.0,96712.55,112626.66666666669,6447.503333333333
668,18067,Howard,IN,"Howard County, IN",51602500.0,9058068.73,107505.20833333331,18870.976520833334
669,18069,Huntington,IN,"Huntington County, IN",11467200.0,1096527.67,102385.71428571428,9790.425625
670,18071,Jackson,IN,"Jackson County, IN",9812300.0,964193.67,105508.60215053764,10367.673870967745
671,18073,Jasper,IN,"Jasper County, IN",7657700.0,1555659.71,69615.45454545454,14142.361
672,18075,Jay,IN,"Jay County, IN",3031700.0,523388.0,70504.6511627907,12171.813953488372
673,18077,Jefferson,IN,"Jefferson County, IN",14343300.0,4058891.56,67977.72511848342,19236.45289099526
674,18079,Jennings,IN,"Jennings County, IN",767300.0,102223.24,85255.55555555556,11358.137777777776
675,18081,Johnson,IN,"Johnson County, IN",57373700.0,12301280.89,127214.41241685144,27275.56738359202
676,18083,Knox,IN,"Knox County, IN",4786000.0,837516.21,62155.84415584416,10876.833896103895
677,18085,Kosciusko,IN,"Kosciusko County, IN",40111600.0,4206326.35,105835.3562005277,11098.486411609498
678,18087,LaGrange,IN,"LaGrange County, IN",6886500.0,626681.85,153033.33333333334,13926.263333333332
679,18089,Lake,IN,"Lake County, IN",317111900.0,48657727.76,106128.48058902276,16284.380107095049
680,18091,LaPorte,IN,"LaPorte County, IN",13304400.0,825307.97,91754.4827586207,5691.779103448275
681,18093,Lawrence,IN,"Lawrence County, IN",2828700.0,825161.02,68992.68292682926,20125.87853658537
682,18095,Madison,IN,"Madison County, IN",22329600.0,3183079.75,87567.05882352941,12482.66568627451
683,18097,Marion,IN,"Marion County, IN",231952800.0,16702968.64,106546.9912723932,7672.470666054203
684,18099,Marshall,IN,"Marshall County, IN",7986300.0,1555616.92,42255.55555555556,8230.777354497353
685,18101,Martin,IN,"Martin County, IN",517800.0,135953.35,47072.72727272727,12359.395454545454
686,18103,Miami,IN,"Miami County, IN",2577600.0,196464.41,88882.75862068965,6774.634827586207
687,18105,Monroe,IN,"Monroe County, IN",19929600.0,3394498.36,163357.37704918033,27823.757049180327
688,18107,Montgomery,IN,"Montgomery County, IN",3959400.0,370593.62,164975.0,15441.400833333331
689,18109,Morgan,IN,"Morgan County, IN",29308100.0,8510127.58,127982.9694323144,37162.12917030568
690,18111,Newton,IN,"Newton County, IN",4994500.0,677186.6000000001,128064.10256410256,17363.758974358978
691,18113,Noble,IN,"Noble County, IN",21842100.0,2253886.76,97509.375,10061.994464285714
692,18115,Ohio,IN,"Ohio County, IN",848400.0,110874.27,49905.882352941175,6522.015882352941
693,18117,Orange,IN,"Orange County, IN",9305100.0,1334429.64,83081.25,11914.550357142858
694,18119,Owen,IN,"Owen County, IN",10406000.0,3092807.83,74863.30935251799,22250.416043165467
695,18121,Parke,IN,"Parke County, IN",742100.0,227353.92,41227.77777777778,12630.773333333333
696,18123,Perry,IN,"Perry County, IN",3096100.0,270700.51,73716.66666666667,6445.250238095238
697,18125,Pike,IN,"Pike County, IN",44000.0,44000.0,44000.0,44000.0
698,18127,Porter,IN,"Porter County, IN",19420300.0,2328024.34,102752.91005291004,12317.5891005291
