,countyCode,total_coverage,total_claims,mean_total_coverage,mean_total_claims
1080,23013,8738800.0,341740.13,150668.9655172414,5892.071206896552
1081,23015,9443900.0,710047.61,115169.51219512195,8659.117195121951
1082,23017,17656600.0,3106516.12,59650.67567567567,10494.986891891893
1083,23019,16652400.0,1672086.93,69097.09543568465,6938.120041493776
1084,23021,7324600.0,1855997.64,89324.39024390244,22634.11756097561
1085,23023,7543500.0,701541.35,104770.83333333333,9743.62986111111
1086,23025,5064400.0,704156.13,48696.153846153844,6770.732019230769
1087,23027,7796500.0,749230.92,134422.41379310345,12917.774482758621
1088,23029,1900300.0,36299.8,90490.47619047618,1728.561904761905
1089,23031,327906500.0,19791748.17,159410.06319883326,9621.656864365581
1090,24001,28224700.0,3547095.18,82048.54651162791,10311.32319767442
1091,24003,508295500.0,48716043.18,183367.784992785,17561.659401586156
1092,24005,431682000.0,61581269.99,132093.63525091799,18843.71786719706
1093,24009,98857400.0,8786941.54,174044.71830985916,15469.967499999999
1094,24011,10587900.0,1280218.23,141172.0,17069.576399999998
1095,24013,16321300.0,1393460.61,113342.36111111111,9676.809791666667
1096,24015,134985700.0,13407739.43,194784.5598845599,19347.387344877345
1097,24017,80710800.0,6755720.9799999995,212396.84210526315,17778.213105263156
1098,24019,187511700.0,19266274.8,168929.45945945947,17357.004324324324
1099,24021,39147200.0,2130031.44,141837.6811594203,7717.5052173913045
1100,24023,8289700.0,1016607.64,77473.83177570094,9501.005981308412
1101,24025,53472100.0,3524596.18,158201.47928994082,10427.799349112427
1102,24027,96660100.0,15712376.04,238666.9135802469,38795.99022222222
1103,24029,56323700.0,7407226.86,170677.87878787878,22446.142
1104,24031,148068900.0,5136766.18,187666.53992395438,6510.476780735107
1105,24033,252234400.0,8469849.39,214485.03401360544,7202.2528826530615
1106,24035,221702600.0,14480631.56,210543.77967711302,13751.78685660019
1107,24037,115213200.0,10654352.91,186127.94830371568,17212.201793214863
1108,24039,167750700.0,13931808.62,134415.625,11163.308189102563
1109,24041,142405100.0,12705729.23,213500.8995502249,19049.06931034483
1110,24043,31074700.0,3942192.88,83087.43315508022,10540.622673796792
1111,24045,73384100.0,5483385.99,319061.3043478261,23840.808652173913
1112,24047,1001058200.0,19286198.1,396772.9686880698,7644.1530321046375
1113,24510,474170500.0,26187188.96,449877.1347248577,24845.530322580646
1114,25001,490321700.0,39934336.73,158988.87808041504,12948.87702010376
1115,25003,49330600.0,3047085.73,126165.21739130435,7793.058132992327
1116,25005,221919800.0,12895487.39,147847.96802131913,8591.264083944037
1117,25007,24013800.0,1679253.68,154927.74193548388,10833.894709677419
1118,25009,949693300.0,88329526.75,180687.4619482496,16805.465515601216
1119,25011,15818800.0,3375917.5,145126.60550458715,30413.671171171172
1120,25013,37391500.0,2466334.08,134501.79856115108,8871.705323741007
1121,25015,19708800.0,1732354.65,100044.67005076142,8793.678426395938
1122,25017,856706600.0,35506660.51,231855.64276048716,9609.380381596751
1123,25019,136972700.0,17527893.99,227907.9866888519,29164.549068219632
1124,25021,491966300.0,25857474.96,150771.1615078149,7924.448348145878
1125,25023,1511637800.0,150135641.34,138809.7153351699,13786.560269972451
1126,25025,456220700.0,27714937.38,105144.20373357917,6387.4020235077205
1127,25027,134338300.0,10370804.27,183271.8963165075,14148.436930422919
1128,26001,1800200.0,24641.100000000002,128585.71428571429,1760.0785714285716
1129,26003,351100.0,36012.0,87775.0,9003.0
1130,26005,10349500.0,1575961.6300000001,149992.75362318842,22840.02362318841
1131,26007,1958700.0,31246.93,130580.0,2083.1286666666665
1132,26009,888000.0,6106.97,148000.0,1017.8283333333334
1133,26011,12068900.0,2118677.29,96551.2,16949.41832
1134,26013,625500.0,14324.6,104250.0,2387.4333333333334
1135,26015,21439400.0,2900451.37,77398.5559566787,10470.94357400722
1136,26017,36767700.0,2517199.67,70167.36641221374,4803.816164122138
1137,26019,3976500.0,86663.79000000001,361500.0,7878.526363636364
1138,26021,45858600.0,4501033.25,143757.36677115987,14109.82210031348
1139,26023,4984700.0,590479.03,155771.875,18452.4696875
1140,26025,9001700.0,226350.83000000002,155201.72413793104,3902.6005172413797
1141,26027,2051700.0,61615.899999999994,186518.18181818182,5601.445454545454
1142,26029,1645000.0,130093.41999999998,235000.0,18584.774285714284
1143,26031,424700.0,759.51,106175.0,189.8775
1144,26033,448000.0,122642.88,112000.0,30660.72
1145,26035,880700.0,26830.09,125814.28571428571,3832.87
1146,26037,5542500.0,447231.33,197946.42857142858,15972.5475
1147,26041,2214600.0,203430.2,85176.92307692308,7824.238461538462
1148,26043,195700.0,14756.0,32616.666666666668,2459.3333333333335
1149,26045,13724400.0,702759.22,93363.26530612246,4780.674965986394
1150,26047,2231000.0,13550.42,557750.0,3387.605
1151,26049,46869700.0,2958120.42,105562.38738738738,6662.433378378379
1152,26051,6571800.0,2105453.9299999997,193288.23529411765,61925.11558823528
1153,26053,944600.0,38342.71,94460.0,3834.2709999999997
1154,26055,9708700.0,414250.57,211058.69565217392,9005.447173913044
1155,26057,2299000.0,140750.05000000002,71843.75,4398.439062500001
1156,26059,1037600.0,282935.73,79815.38461538461,21764.28692307692
1157,26061,685000.0,117086.42,114166.66666666667,19514.403333333332
1158,26063,2976300.0,250548.77,59526.0,5010.975399999999
1159,26065,38233100.0,2283022.14,100349.343832021,5992.18409448819
1160,26067,3227100.0,260768.05000000002,89641.66666666667,7243.5569444444445
1161,26069,9100900.0,698047.95,113761.25,8725.599375
1162,26071,92000.0,0.0,30666.666666666668,0.0
1163,26073,5870800.0,547533.3,158670.27027027027,14798.197297297298
1164,26075,5699000.0,210476.81,142475.0,5261.92025
1165,26077,47172000.0,5288861.09,153155.84415584416,17171.626915584417
1166,26081,74618300.0,10115438.36,116409.20436817473,15780.715070202807
1167,26085,5231000.0,1234164.6,111297.87234042553,26258.821276595747
1168,26087,2987100.0,177861.81,106682.14285714286,6352.2074999999995
1169,26089,4418200.0,146309.11,192095.65217391305,6361.265652173913
1170,26091,4929400.0,338883.81,82156.66666666667,5648.0635
1171,26093,19657200.0,969497.63,162456.19834710745,8012.3771074380165
1172,26095,62500.0,5510.94,62500.0,5510.94
1173,26097,852000.0,8897.560000000001,142000.0,1482.926666666667
1174,26099,130959800.0,8163221.38,93409.27246790299,5822.554479315264
1175,26101,4012700.0,253655.66,125396.875,7926.739375
