,countyCode,County,State,county_state,total_coverage
156,05127,Scott,AR,"Scott County, AR","$2,885,000"
157,05131,Sebastian,AR,"Sebastian County, AR","$60,424,600"
158,05133,Sevier,AR,"Sevier County, AR","$2,156,700"
159,05135,Sharp,AR,"Sharp County, AR","$11,468,200"
160,05137,Stone,AR,"Stone County, AR","$1,162,200"
161,05139,Union,AR,"Union County, AR","$8,831,900"
162,05141,Van Buren,AR,"Van Buren County, AR","$2,419,300"
163,05143,Washington,AR,"Washington County, AR","$61,255,900"
164,05145,White,AR,"White County, AR","$14,006,200"
165,05147,Woodruff,AR,"Woodruff County, AR","$3,900,400"
166,05149,Yell,AR,"Yell County, AR","$859,300"
167,06001,Alameda,CA,"Alameda County, CA","$71,341,100"
168,06003,Alpine,CA,"Alpine County, CA","$1,776,400"
169,06005,Amador,CA,"Amador County, CA","$8,410,200"
170,06007,Butte,CA,"Butte County, CA","$54,832,400"
171,06009,Calaveras,CA,"Calaveras County, CA","$10,977,900"
172,06011,Colusa,CA,"Colusa County, CA","$21,319,400"
173,06013,Contra Costa,CA,"Contra Costa County, CA","$179,684,900"
174,06015,Del Norte,CA,"Del Norte County, CA","$2,790,300"
175,06017,El Dorado,CA,"El Dorado County, CA","$36,045,500"
176,06019,Fresno,CA,"Fresno County, CA","$28,067,700"
177,06021,Glenn,CA,"Glenn County, CA","$18,202,300"
178,06023,Humboldt,CA,"Humboldt County, CA","$18,818,300"
179,06025,Imperial,CA,"Imperial County, CA","$4,412,600"
180,06027,Inyo,CA,"Inyo County, CA","$99,800"
181,06029,Kern,CA,"Kern County, CA","$29,962,700"
182,06031,Kings,CA,"Kings County, CA","$1,520,000"
183,06033,Lake,CA,"Lake County, CA","$154,724,600"
184,06035,Lassen,CA,"Lassen County, CA","$7,121,900"
185,06037,Los Angeles,CA,"Los Angeles County, CA","$1,541,320,900"
186,06039,Madera,CA,"Madera County, CA","$8,943,600"
187,06041,Marin,CA,"Marin County, CA","$472,766,000"
188,06045,Mendocino,CA,"Mendocino County, CA","$25,919,500"
189,06047,Merced,CA,"Merced County, CA","$41,146,700"
190,06051,Mono,CA,"Mono County, CA","$2,819,500"
191,06053,Monterey,CA,"Monterey County, CA","$218,850,300"
192,06055,Napa,CA,"Napa County, CA","$216,537,000"
